Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),time,step,hybrid,latitude,longitude,valid_time,co,aermr04,aermr05,aermr06,aermr09,aermr07,aermr10,aermr08,no2,no,go3,q,so2,t,number,surface,u10,v10,d2m,t2m,sp
2016-01-01 05:30:00,518.08,801.0,246.33,93.315,358.41499999999996,159.25,15.73,1.77,7.8500000000000005,5.3,4.85,,,,,11.25,74.46000000000001,0.33499999999999996,138.5,,0.0,13.205,740.0,,2016-01-01 05:30:00,0 days,60.0,28.5,77.25,2016-01-01 05:30:00,4.753965e-06,7.2077455e-11,8.731149e-11,9.958967e-11,4.016158e-09,3.8864817e-07,7.890783e-09,2.9770177e-07,6.790375e-08,9.7372805e-08,9.999999e-15,0.006775687,1.4998818e-07,282.65347,0,0.0,1.4430847,-1.0546417,281.89624,282.8628,99278.81
2016-01-01 08:30:00,387.0,619.17,86.055,104.78,210.89499999999998,102.32,30.52,2.035,8.36,2.1399999999999997,1.5050000000000001,,,,,16.675,57.04,0.6699999999999999,163.455,,0.0,433.58,740.0,,2016-01-01 08:30:00,0 days,60.0,28.5,77.25,2016-01-01 08:30:00,4.4713183e-06,8.026291e-11,1.00499165e-10,1.3233148e-10,4.2387445e-09,3.7403947e-07,8.124765e-09,2.7348966e-07,6.340034e-08,8.371421e-08,2.927986e-09,0.0068266755,1.00298735e-07,283.04843,0,0.0,0.6074524,-1.8043365,281.92627,283.1604,99500.31
2016-01-01 11:30:00,234.83499999999998,505.5,80.02,131.675,226.61,102.51,96.85499999999999,1.37,24.685,0.655,1.63,,,,,22.79,37.0,1.0150000000000001,222.96,,0.0,446.75,740.0,,2016-01-01 11:30:00,0 days,60.0,28.5,77.25,2016-01-01 11:30:00,2.0345758e-06,1.4233592e-10,2.4806468e-10,5.8514615e-10,3.3321559e-09,2.0817134e-07,4.0943604e-09,1.1350744e-07,4.0003975e-08,7.712643e-09,9.205599e-08,0.0072209644,4.035428e-08,290.73264,0,0.0,0.5910034,-0.114486694,283.50708,291.8567,99539.31
2016-01-01 14:30:00,144.42,440.17,80.41499999999999,120.42500000000001,217.06,66.36,27.869999999999997,0.5399999999999999,27.355,0.33,0.5800000000000001,,,,,24.56,24.54,0.92,235.33499999999998,,0.0,422.5,740.0,,2016-01-01 14:30:00,0 days,60.0,28.5,77.25,2016-01-01 14:30:00,1.0973106e-06,4.804406e-10,9.0892627e-10,9.2109076e-10,2.3411726e-09,1.2822369e-07,2.686786e-09,6.288968e-08,1.5267355e-08,1.7722641e-09,1.2566377e-07,0.0056778314,2.4532255e-08,294.2937,0,0.0,1.621933,-0.466568,280.7307,296.06177,99304.56
2016-01-01 17:30:00,254.58499999999998,839.25,351.155,181.92000000000002,257.191875,92.25,36.875,3.5300000000000002,11.295,0.515,0.795,,,,,18.64,44.585,0.48,187.0,,0.0,42.75,740.0,,2016-01-01 17:30:00,0 days,60.0,28.5,77.25,2016-01-01 17:30:00,2.2870229e-06,4.9351456e-10,8.035954e-10,1.2994406e-10,4.0555035e-09,2.5372955e-07,9.9808375e-09,1.953201e-07,6.373558e-08,1.4973693e-08,2.0371929e-09,0.0063542454,8.471466e-08,292.75754,0,0.0,1.0718231,-2.1438293,283.03125,292.85132,99321.375
2016-01-01 20:30:00,480.0,923.0,441.231,238.325,227.083125,144.93,38.73,9.435,10.55,6.91,20.73,,,,,15.24,57.88,0.31,225.545,,0.0,12.545,740.0,,2016-01-01 20:30:00,0 days,60.0,28.5,77.25,2016-01-01 20:30:00,5.0773806e-06,3.6848746e-10,4.4465764e-10,9.97602e-11,6.7792927e-09,4.6425828e-07,1.8486206e-08,3.8856828e-07,6.236494e-08,1.1010104e-07,2.8000622e-13,0.0065478496,1.5327277e-07,287.8787,0,0.0,0.9687195,-2.599884,281.86377,285.20386,99458.06
2016-01-01 23:30:00,480.0,923.0,330.633,148.255,196.97437499999998,139.68,30.53,2.87,15.18,9.735,29.200000000000003,,,,,13.469999999999999,63.335,0.3,85.17,,0.0,12.540000000000001,740.0,,2016-01-01 23:30:00,0 days,60.0,28.5,77.25,2016-01-01 23:30:00,6.5078993e-06,2.6912517e-10,2.977174e-10,1.0356871e-10,6.5009385e-09,4.9945135e-07,1.6002321e-08,4.0702912e-07,8.0668315e-08,1.5228176e-07,9.999999e-15,0.006554585,2.143164e-07,284.81308,0,0.0,0.7314453,-2.3031158,281.8203,283.61597,99534.5
2016-01-02 02:30:00,291.83,421.91499999999996,86.425,83.86,192.74,92.6,3.55,2.0808333333333335,12.120000000000001,0.765,0.515,,,,,12.385,59.21,0.3,79.5,,0.0,12.46,740.0,,2016-01-02 02:30:00,0 days,60.0,28.5,77.25,2016-01-02 02:30:00,6.334265e-06,1.925855e-10,2.3567281e-10,9.032419e-11,5.077929e-09,4.4843648e-07,1.0682204e-08,3.509154e-07,8.72232e-08,1.4517207e-07,2.246315e-11,0.0063654906,2.1780414e-07,283.0074,0,0.0,0.8716583,-1.8943329,281.521,283.18652,99466.81
2016-01-02 05:30:00,311.75,527.085,132.19,72.43,245.035,120.695,11.0625,1.9858333333333333,10.120000000000001,1.4849999999999999,0.8400000000000001,,,,,11.149999999999999,65.58500000000001,0.31,106.54499999999999,,0.0,13.21,740.0,,2016-01-02 05:30:00,0 days,60.0,28.5,77.25,2016-01-02 05:30:00,6.8978006e-06,1.813305e-10,2.0389734e-10,9.993073e-11,5.017993e-09,4.7968547e-07,9.69872e-09,3.69814e-07,8.225387e-08,1.6099767e-07,1.980572e-11,0.0062555633,1.6960047e-07,281.87317,0,0.0,1.1016693,-1.6886749,280.18677,281.69067,99458.25
2016-01-02 08:30:00,568.5,580.0,151.495,125.83500000000001,319.76500000000004,94.285,124.715,2.645,15.34,3.0300000000000002,0.97,,,,,15.64,54.255,0.74,140.33499999999998,,0.0,424.375,740.0,,2016-01-02 08:30:00,0 days,60.0,28.5,77.25,2016-01-02 08:30:00,6.870363e-06,1.652154e-10,1.9332447e-10,1.3858426e-10,5.3439653e-09,4.6840069e-07,1.0252666e-08,3.4519172e-07,8.813742e-08,1.4781102e-07,2.745007e-09,0.006374303,1.0558108e-07,281.75888,0,0.0,1.482605,-1.4032745,280.7683,282.27344,99581.56
